Phase H4.0 Municipality Layer Audit

Global:
  municipality_ids in substrate: 141
  mun1990_ids represented: 0
  missing from mun1990_names: 0
  missing from post1995 mapping: 0
  name mismatch (names vs mapping): 0
  census_available: true, census_settlement_count: 6140

Per municipality (stable-sorted by municipality_id):
  10014 | Banovići | mun1990: (missing/conflict) | settlements: 20 (in_graph: 20, ungraphed: 0) | control RBiH=20 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10049 | Bihać | mun1990: (missing/conflict) | settlements: 59 (in_graph: 59, ungraphed: 0) | control RBiH=59 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10146 | Bosansko Grahovo | mun1990: (missing/conflict) | settlements: 35 (in_graph: 35, ungraphed: 0) | control RBiH=0 RS=35 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10189 | Breza | mun1990: (missing/conflict) | settlements: 28 (in_graph: 28, ungraphed: 0) | control RBiH=28 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10197 | Bugojno | mun1990: (missing/conflict) | settlements: 78 (in_graph: 78, ungraphed: 0) | control RBiH=0 RS=0 HRHB=78 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10219 | Busovača | mun1990: (missing/conflict) | settlements: 47 (in_graph: 47, ungraphed: 0) | control RBiH=0 RS=0 HRHB=47 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10227 | Cazin | mun1990: (missing/conflict) | settlements: 61 (in_graph: 54, ungraphed: 7) | control RBiH=61 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=true
  10243 | Čapljina | mun1990: (missing/conflict) | settlements: 32 (in_graph: 32, ungraphed: 0) | control RBiH=0 RS=0 HRHB=32 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10260 | Čitluk | mun1990: (missing/conflict) | settlements: 21 (in_graph: 21, ungraphed: 0) | control RBiH=0 RS=0 HRHB=21 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10294 | Donji Vakuf | mun1990: (missing/conflict) | settlements: 68 (in_graph: 68, ungraphed: 0) | control RBiH=68 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10308 | Duvno | mun1990: (missing/conflict) | settlements: 60 (in_graph: 60, ungraphed: 0) | control RBiH=0 RS=0 HRHB=60 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10324 | Fojnica | mun1990: (missing/conflict) | settlements: 55 (in_graph: 55, ungraphed: 0) | control RBiH=0 RS=0 HRHB=55 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10359 | Glamoč | mun1990: (missing/conflict) | settlements: 55 (in_graph: 55, ungraphed: 0) | control RBiH=0 RS=55 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10375 | Gornji Vakuf | mun1990: (missing/conflict) | settlements: 52 (in_graph: 52, ungraphed: 0) | control RBiH=52 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10391 | Gradačac | mun1990: (missing/conflict) | settlements: 34 (in_graph: 34, ungraphed: 0) | control RBiH=34 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10405 | Grude | mun1990: (missing/conflict) | settlements: 13 (in_graph: 13, ungraphed: 0) | control RBiH=0 RS=0 HRHB=13 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10421 | Jablanica | mun1990: (missing/conflict) | settlements: 33 (in_graph: 33, ungraphed: 0) | control RBiH=33 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10448 | Kakanj | mun1990: (missing/conflict) | settlements: 106 (in_graph: 106, ungraphed: 0) | control RBiH=106 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10472 | Kiseljak | mun1990: (missing/conflict) | settlements: 82 (in_graph: 82, ungraphed: 0) | control RBiH=0 RS=0 HRHB=82 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10499 | Kladanj | mun1990: (missing/conflict) | settlements: 48 (in_graph: 45, ungraphed: 3) | control RBiH=48 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=true
  10529 | Konjic | mun1990: (missing/conflict) | settlements: 168 (in_graph: 168, ungraphed: 0) | control RBiH=168 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10545 | Kreševo | mun1990: (missing/conflict) | settlements: 27 (in_graph: 27, ungraphed: 0) | control RBiH=0 RS=0 HRHB=27 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10570 | Lištica | mun1990: (missing/conflict) | settlements: 34 (in_graph: 34, ungraphed: 0) | control RBiH=0 RS=0 HRHB=34 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10588 | Livno | mun1990: (missing/conflict) | settlements: 58 (in_graph: 57, ungraphed: 1) | control RBiH=0 RS=0 HRHB=58 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=true
  10600 | Lukavac | mun1990: (missing/conflict) | settlements: 44 (in_graph: 44, ungraphed: 0) | control RBiH=44 RS=0 HRHB=0 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
  10626 | Ljubuški | mun1990: (missing/conflict) | settlements: 35 (in_graph: 35, ungraphed: 0) | control RBiH=0 RS=0 HRHB=35 null=0 | null%=0 | flags: name_missing=false mun1990_missing=true mun1990_conflict=false control_null_gt_0=false ungraphed_gt_0=false
