turn,date,rbih_territory,rs_territory,hrhb_territory,territory_net_rbih,battles,rbih_battle_casualties,opposing_battle_casualties,displacement,spawns,destroyed,movements,events
0,1992-04-06,0.315,0.5363,0.1487,0,0,0,0,0,0,0,0,
1,1992-04-13,0.3029,0.5507,0.1464,-10,9,6225,1284,0,0,0,8,
2,1992-04-20,0.2924,0.5641,0.1435,-8,11,1194,830,0,0,0,4,
3,1992-04-27,0.2758,0.5815,0.1428,-16,16,967,705,0,0,0,5,UN Arms Embargo Strangles Bosnia | Paramilitary Authorization Policy
4,1992-05-04,0.2646,0.5974,0.138,-10,10,990,540,12790,0,0,6,Battle of the Barracks — Sarajevo | Battle of the Barracks — Tuzla | Battle of the Barracks — Visoko | Battle of the Barracks — Zenica
5,1992-05-11,0.2535,0.6122,0.1343,-9,9,984,1022,467081,0,0,1,JNA Forces Begin Withdrawal from Bosnia | Siege of Sarajevo Intensifies
6,1992-05-18,0.2481,0.621,0.1309,-6,6,99,822,42507,0,0,0,The Camps Are Found | Bijeljina: The First Days of April 1992
7,1992-05-25,0.2462,0.6232,0.1306,-2,0,0,0,57258,0,0,0,
8,1992-06-01,0.2452,0.6277,0.1271,-1,3,27,1246,63366,0,0,1,
9,1992-06-08,0.2452,0.6311,0.1237,0,1,0,742,52508,1,0,0,Srebrenica Pocket Crystallizes
10,1992-06-15,0.2429,0.6349,0.1222,-2,4,359,1419,26013,1,0,1,Foca: The Takeover and Its Aftermath | The Takeover of Zvornik
11,1992-06-22,0.2429,0.634,0.1231,0,2,85,1305,31230,0,0,0,Drina Valley Campaign Accelerates
12,1992-06-29,0.2429,0.634,0.1231,0,1,404,60,35129,0,0,1,"Mostar Liberated | Operation Corridor — VRS Breaks Through at Brcko | Visegrad: The Bridge on the Drina, 1992"
13,1992-07-06,0.2413,0.6356,0.1231,-2,3,921,406,29053,0,0,1,Croatia Transit Opens a Narrow Supply Trickle
14,1992-07-13,0.2397,0.6359,0.1244,-2,3,695,429,21252,0,1,0,The Keraterm Camp | The Omarska Camp | Prijedor: The Takeover and the Counterattack | The Trnopolje Camp
15,1992-07-20,0.2366,0.639,0.1244,-5,6,273,277,17823,0,0,1,
16,1992-07-27,0.2349,0.6407,0.1244,-4,6,338,284,9083,0,0,0,
17,1992-08-03,0.2337,0.6418,0.1244,-2,3,266,222,15936,0,0,0,
18,1992-08-10,0.2328,0.6428,0.1244,-2,5,221,198,11776,0,0,3,Operation Circle: The Gorazde Pocket Holds
19,1992-08-17,0.2321,0.6435,0.1244,-2,3,296,319,17928,1,0,2,
20,1992-08-24,0.2321,0.6435,0.1244,0,1,191,162,23481,0,0,1,The Silent Drift
21,1992-08-31,0.2353,0.6403,0.1244,3,3,213,427,15961,0,0,1,The Sweep That Was Never Ordered
22,1992-09-07,0.2353,0.6403,0.1244,0,1,122,80,19168,1,0,1,Sarajevo Records Its Officer Corps Posture
23,1992-09-14,0.2353,0.6403,0.1244,0,1,89,62,15161,0,0,1,HVO-ARBiH Clash at Prozor
24,1992-09-21,0.2353,0.6403,0.1244,0,0,0,0,7780,0,0,3,
25,1992-09-28,0.2353,0.6403,0.1244,0,2,175,709,9288,0,0,3,Refugee Absorption Strain
26,1992-10-05,0.2353,0.6403,0.1244,0,2,50,91,7324,0,1,1,
27,1992-10-12,0.2353,0.6403,0.1244,0,1,0,20,7115,0,0,1,
28,1992-10-19,0.2343,0.6412,0.1244,-1,2,104,765,6893,0,0,1,Jajce Falls to VRS Forces
29,1992-10-26,0.2343,0.6412,0.1244,0,2,0,524,6679,2,0,0,
30,1992-11-02,0.2343,0.6412,0.1244,0,2,0,479,6475,1,0,0,The Civic Platform Holds | ICTY Opens Its Doors Early
31,1992-11-09,0.2343,0.6412,0.1244,0,3,0,486,6286,1,0,0,
32,1992-11-16,0.2343,0.6412,0.1244,0,1,0,90,6757,1,0,0,
33,1992-11-23,0.2343,0.6412,0.1244,0,1,0,77,5932,0,0,0,
34,1992-11-30,0.2343,0.6412,0.1244,0,0,0,0,5747,0,0,2,
35,1992-12-07,0.2343,0.6412,0.1244,0,0,0,0,5580,1,0,2,Safe Areas With Teeth | An Alliance That Did Not Break
36,1992-12-14,0.2343,0.6412,0.1244,0,1,175,449,5397,0,0,1,
37,1992-12-21,0.2343,0.6412,0.1244,0,0,0,0,5238,0,0,1,
38,1992-12-28,0.2343,0.6412,0.1244,0,1,167,680,5089,1,0,2,Western Powers Press Sarajevo: Engage with Vance-Owen
39,1993-01-04,0.2343,0.6412,0.1244,0,0,0,0,4934,0,0,1,Kravica Raid on Orthodox Christmas | Vance-Owen Peace Plan Presented
40,1993-01-11,0.2343,0.6412,0.1244,0,0,0,0,4800,1,0,1,The Camps Provide Hands | Deputy Prime Minister Turajlic Assassinated
41,1993-01-18,0.2343,0.6412,0.1244,0,0,0,0,4654,0,0,1,
42,1993-01-25,0.2343,0.6412,0.1244,0,0,0,0,4509,0,0,1,
43,1993-02-01,0.2343,0.6412,0.1244,0,1,68,285,4370,0,0,1,
44,1993-02-08,0.2343,0.6412,0.1244,0,1,62,293,4237,0,0,1,US Special Envoy — American Engagement Begins
45,1993-02-15,0.2343,0.6412,0.1244,0,1,37,530,4111,0,0,1,
46,1993-02-22,0.2343,0.6412,0.1244,0,0,0,0,3991,0,0,1,UN Resolution 808 — International Tribunal Announced
47,1993-03-01,0.2343,0.6412,0.1244,0,0,0,0,3862,0,0,1,
