turn,date,rbih_control,rs_control,hrhb_control,killed,wounded,missing_or_captured,rbih_personnel,command_authority_current,command_authority_spent,pending_event_decisions,pending_player_officers
1,1992-04-13,0.3029,0.5507,0.1464,1405,4963,197,42533,100,0,,
2,1992-04-20,0.3029,0.5507,0.1464,1713,6141,301,41071,100,0,,
3,1992-04-27,0.3029,0.5507,0.1464,1968,7128,400,39831,100,0,rbih_paramilitary_policy_1992,
4,1992-05-04,0.3029,0.5507,0.1464,2207,8070,498,38572,100,0,,
5,1992-05-11,0.3029,0.5507,0.1464,2447,8998,589,37322,100,0,,
6,1992-05-18,0.3029,0.5507,0.1464,2492,9234,660,37165,100,0,,
7,1992-05-25,0.3029,0.5507,0.1464,2514,9393,729,37143,100,0,,
8,1992-06-01,0.3029,0.5507,0.1464,2541,9564,800,37523,100,0,,
9,1992-06-08,0.3029,0.5507,0.1464,2561,9702,869,41856,100,0,,
10,1992-06-15,0.3029,0.5507,0.1464,2660,10127,950,44778,100,0,,
11,1992-06-22,0.3029,0.5507,0.1464,2702,10359,1025,47065,100,0,,
12,1992-06-29,0.3029,0.5507,0.1464,2821,10852,1103,50455,100,0,rbih_minority_retention_1992,
13,1992-07-06,0.3029,0.5507,0.1464,3060,11745,1195,53096,100,0,,
14,1992-07-13,0.3029,0.5507,0.1464,3257,12484,1279,55862,100,0,,
15,1992-07-20,0.3029,0.5507,0.1464,3360,12923,1358,59050,100,0,,
16,1992-07-27,0.3029,0.5507,0.1464,3529,13580,1444,62065,100,0,,
17,1992-08-03,0.3029,0.5507,0.1464,3677,14166,1526,64784,100,0,,
18,1992-08-10,0.3029,0.5507,0.1464,3813,14723,1611,67459,100,0,,
19,1992-08-17,0.3029,0.5507,0.1464,3938,15246,1701,69841,100,0,,
20,1992-08-24,0.3029,0.5507,0.1464,4039,15690,1790,71515,100,0,london_conference_1992,
21,1992-08-31,0.3029,0.5507,0.1464,4149,16161,1880,73291,100,0,,
22,1992-09-07,0.3029,0.5507,0.1464,4236,16546,1961,75981,100,0,,arrival_arbih_hadzihasanovic_t22
23,1992-09-14,0.3029,0.5507,0.1464,4319,16912,2041,77975,100,0,,arrival_arbih_hadzihasanovic_t22
24,1992-09-21,0.3029,0.5507,0.1464,4389,17237,2120,79713,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
25,1992-09-28,0.3029,0.5507,0.1464,4502,17717,2209,81787,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
26,1992-10-05,0.3029,0.5507,0.1464,4592,18116,2289,84602,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
27,1992-10-12,0.3029,0.5507,0.1464,4675,18490,2370,87823,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
28,1992-10-19,0.3029,0.5507,0.1464,4784,18960,2458,90564,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
29,1992-10-26,0.3029,0.5507,0.1464,4875,19366,2544,94794,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
30,1992-11-02,0.3029,0.5507,0.1464,4971,19788,2629,97468,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
31,1992-11-09,0.3029,0.5507,0.1464,5070,20222,2714,99683,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
32,1992-11-16,0.3029,0.5507,0.1464,5170,20661,2799,102738,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
33,1992-11-23,0.3029,0.5507,0.1464,5273,21112,2881,104813,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
34,1992-11-30,0.3029,0.5507,0.1464,5373,21562,2963,107271,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
35,1992-12-07,0.3029,0.5507,0.1464,5477,22013,3045,110974,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
36,1992-12-14,0.3029,0.5507,0.1464,5619,22599,3132,113219,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
37,1992-12-21,0.3029,0.5507,0.1464,5723,23057,3216,116570,100,0,,arrival_arbih_hadzihasanovic_t22|arrival_arbih_pasalic_t24
